term_name,Group,QC
"exonuclease activity, active with either ribo- or deoxyribonucleic acids and producing 5'-phosphomonoesters",cell cycle,+
exopeptidase activity,protein modification/signaling,+
export across plasma membrane,transport,+
external encapsulating structure organization,cellular component organization,+
external side of plasma membrane,cellular component organization,+
extracellular exosome biogenesis,morphogenesis/development,+
extracellular matrix binding,cell adhesion,+
extracellular matrix constituent secretion,transport,+
extracellular matrix disassembly,cellular component organization,+
extracellular matrix organization,cellular component organization,+
extracellular structure organization,cellular component organization,+
extracellular vesicle biogenesis,cellular component organization,+
extrinsic apoptotic signaling pathway,cell death,+
extrinsic apoptotic signaling pathway in absence of ligand,cell death,+
extrinsic apoptotic signaling pathway via death domain receptors,cell death,+
extrinsic component of membrane,cellular component organization,+
extrinsic component of organelle membrane,cellular component organization,+
eye development,morphogenesis/development,+
eyelid development in camera-type eye,morphogenesis/development,+
face development,morphogenesis/development,+
facultative heterochromatin formation,gene regulation,+
fat cell differentiation,morphogenesis/development,+
fatty-acyl-CoA binding,metabolic process,+
fatty-acyl-CoA metabolic process,metabolic process,+
fatty acid beta-oxidation,metabolic process,+
fatty acid beta-oxidation using acyl-CoA oxidase,metabolic process,+
fatty acid biosynthetic process,metabolic process,+
fatty acid derivative catabolic process,metabolic process,+
fatty acid derivative metabolic process,metabolic process,+
fatty acid metabolic process,metabolic process,+
Fc-epsilon receptor signaling pathway,receptor related process,+
Fc receptor mediated stimulatory signaling pathway,immune system process,+
Fc receptor signaling pathway,immune system process,+
feeding behavior,neural related process,+
female gamete generation,multicellular organismal process,+
female gonad development,morphogenesis/development,+
female meiotic nuclear division,cell cycle,+
female pregnancy,multicellular organismal process,+
female sex differentiation,morphogenesis/development,+
fibrillar center,cellular component organization,+
fibrinolysis,multicellular organismal process,+
fibroblast apoptotic process,cell death,+
fibroblast growth factor binding,response to stimulus,+
fibroblast growth factor receptor signaling pathway,receptor related process,+
fibroblast migration,multicellular organismal process,+
fibroblast proliferation,cell cycle,+
ficolin-1-rich granule,immune system process,+
ficolin-1-rich granule lumen,immune system process,+
filopodium,cellular component organization,+
flavin adenine dinucleotide binding,metabolic process,+
fluid transport,transport,+
foam cell differentiation,morphogenesis/development,+
folic acid-containing compound metabolic process,metabolic process,+
forebrain development,morphogenesis/development,+
formation of cytoplasmic translation initiation complex,cellular component organization,+
formation of primary germ layer,morphogenesis/development,+
formation of translation preinitiation complex,cellular component organization,+
G-protein alpha-subunit binding,protein modification/signaling,+
G protein-coupled acetylcholine receptor signaling pathway,neural related process,+
G protein-coupled neurotransmitter receptor activity,neural related process,+
G protein-coupled purinergic nucleotide receptor signaling pathway,receptor related process,+
G protein-coupled receptor binding,receptor related process,+
G protein activity,protein modification/signaling,+
G0 to G1 transition,cell cycle,+
G1/S transition of mitotic cell cycle,cell cycle,+
G2/M transition of mitotic cell cycle,cell cycle,+
GABA-ergic synapse,neural related process,+
gastrulation,morphogenesis/development,+
GDP binding,protein modification/signaling,+
general transcription initiation factor activity,gene regulation,+
general transcription initiation factor binding,gene regulation,+
generation of precursor metabolites and energy,metabolic process,+
genitalia morphogenesis,morphogenesis/development,+
germinal center formation,immune system process,+
gland development,morphogenesis/development,+
gland morphogenesis,morphogenesis/development,+
glandular epithelial cell differentiation,morphogenesis/development,+
glial cell activation,neural related process,+
glial cell apoptotic process,cell death,+
glial cell development,neural related process,+
glial cell differentiation,morphogenesis/development,+
glial cell proliferation,cell cycle,+
gliogenesis,morphogenesis/development,+
glomerular mesangium development,morphogenesis/development,+
glomerulus development,morphogenesis/development,+
glomerulus vasculature development,morphogenesis/development,+
glucan metabolic process,metabolic process,+
glucocorticoid receptor signaling pathway,receptor related process,+
glucose homeostasis,metabolic process,+
glucose metabolic process,metabolic process,+
glucose transmembrane transport,transport,+
glucosyltransferase activity,metabolic process,+
glucuronate metabolic process,metabolic process,+
glutamate receptor activity,neural related process,+
glutamatergic synapse,neural related process,+
glutamine metabolic process,metabolic process,+
glutathione metabolic process,metabolic process,+
glutathione peroxidase activity,metabolic process,+
glutathione transferase activity,metabolic process,+
glycerophospholipid catabolic process,metabolic process,+
glycerophospholipid metabolic process,metabolic process,+
glycolipid biosynthetic process,metabolic process,+
glycolytic process,metabolic process,+
glycolytic process through glucose-6-phosphate,metabolic process,+
glycoprotein catabolic process,metabolic process,+
glycoprotein metabolic process,metabolic process,+
glycosaminoglycan biosynthetic process,metabolic process,+
glycoside metabolic process,metabolic process,+
glycosyl compound metabolic process,metabolic process,+
Golgi apparatus subcompartment,ER/endosome/lysosome related process,+
Golgi localization,transport,+
Golgi lumen acidification,ER/endosome/lysosome related process,+
Golgi membrane,ER/endosome/lysosome related process,+
Golgi organization,ER/endosome/lysosome related process,+
Golgi stack,ER/endosome/lysosome related process,+
Golgi to plasma membrane transport,transport,+
Golgi vesicle transport,transport,+
gonad development,morphogenesis/development,+
granulocyte chemotaxis,immune system process,+
granulocyte differentiation,immune system process,+
granulocyte migration,immune system process,+
growth,morphogenesis/development,+
growth factor activity,protein modification/signaling,+
